RedMean,RedMedian,GreenMean,GreenMedian,BlueMean,BlueMedian,Mean,Median,Maximum,Minimum,Std_Dev,Kurtosis,Skewness,IQR,Entropy,FFT_Mean,FFT_Median,FFT_Maximum,FFT_Minimum,Wave_Mean,Wave_Median,Wave_Maximum,Wave_Minimum,DCT
83,69,101,92,55,51,90,81,255,3,10,6,1,32,0,78,103,255,0,3,2,8,0,255
105,102,116,119,72,63,108,107,255,6,10,3,0,51,0,111,196,255,0,3,3,8,0,255
100,112,108,125,62,55,100,114,255,0,15,2,0,92,0,207,0,255,0,3,3,8,0,255
112,99,105,82,94,79,106,87,255,3,8,2,1,95,0,44,71,255,1,4,3,8,0,255
45,27,43,29,39,28,43,28,241,0,16,9,2,25,0,30,216,255,0,1,1,8,0,255
46,30,41,23,25,13,40,26,224,0,11,5,2,35,0,12,85,255,0,1,1,7,0,255
92,82,93,89,80,65,91,83,255,23,19,3,1,72,0,86,0,255,0,3,3,8,1,255
75,48,72,54,54,35,71,51,249,5,19,3,1,70,0,28,52,255,0,2,2,7,0,255
91,94,104,115,51,56,94,103,244,0,22,4,0,39,0,92,255,255,0,3,3,8,0,255
123,128,127,132,102,84,123,126,255,0,15,2,0,113,0,146,0,255,0,4,4,8,0,255
151,172,122,129,84,85,126,137,250,5,12,2,0,111,0,231,255,255,0,5,5,8,0,255
129,148,120,144,111,133,121,145,255,0,17,2,0,98,0,149,255,255,1,4,5,8,0,255
96,98,102,111,54,55,95,101,240,0,15,4,0,32,0,90,149,255,1,3,3,8,0,255
124,151,130,166,71,63,121,150,255,0,23,2,0,119,0,126,0,255,1,4,5,8,0,255
137,149,153,171,95,85,141,155,252,2,10,3,0,40,0,129,0,255,0,4,5,8,0,255
137,156,138,151,100,84,133,143,246,15,12,2,0,97,0,94,28,255,1,4,5,8,1,255
112,116,114,119,52,42,107,113,245,4,15,3,0,67,0,98,119,255,0,4,4,8,0,255
145,166,113,121,74,63,118,129,247,0,20,2,0,112,0,223,53,255,0,5,5,8,0,255
101,109,116,123,58,59,105,114,251,0,9,3,0,49,0,74,0,255,0,3,3,8,0,255
